TEAM_ID,HEADCOACH
1610612737,Lloyd Pierce
1610612738,Brad Stevens
1610612740,Alvin Gentry
1610612741,Jim Boylen
1610612742,Rick Carlisle
1610612743,Michael Malone
1610612745,Mike D'Antoni
1610612746,Doc Rivers
1610612747,Frank Vogel
1610612748,Erik Spoelstra
1610612749,Mike Budenholzer
1610612750,Ryan Saunders
1610612751,Kenny Atkinson
1610612752,David Fizdale
1610612753,Steve Clifford
1610612754,Nate McMillan
1610612755,Brett Brown
1610612756,Monty Williams
1610612757,Terry Stotts
1610612758,Luke Walton
1610612759,Gregg Popovich
1610612760,Billy Donovan
1610612761,Nick Nurse
1610612762,Quin Snyder
1610612763,Taylor Jenkins
1610612764,Scott Brooks
1610612765,Dwane Casey
1610612766,James Borrego
1610612739,John Beilein
1610612744,Steve Kerr
