GAME_ID,HOME_TEAM_ID,VISITOR_TEAM_ID,PTS_home,PTS_away,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away
22200477,1610612740,1610612759,126,117,0.484,0.926,0.382,25,46,0.478,0.815,0.321,23,44
22200478,1610612762,1610612764,120,112,0.488,0.952,0.457,16,40,0.561,0.765,0.333,20,37
22200466,1610612739,1610612749,114,106,0.482,0.786,0.313,22,37,0.47,0.682,0.433,20,46
22200467,1610612755,1610612765,113,93,0.441,0.909,0.297,27,49,0.392,0.735,0.261,15,46
22200468,1610612737,1610612741,108,110,0.429,1,0.378,22,47,0.5,0.773,0.292,20,47
22200469,1610612738,1610612754,112,117,0.386,0.84,0.317,26,62,0.469,0.778,0.462,27,47
22200470,1610612751,1610612744,143,113,0.643,0.875,0.636,42,32,0.494,0.76,0.364,32,36
22200471,1610612752,1610612761,106,113,0.553,0.611,0.423,25,38,0.447,0.909,0.265,17,38
22200472,1610612745,1610612753,110,116,0.466,0.647,0.395,22,49,0.451,0.697,0.297,19,45
22200473,1610612750,1610612742,99,104,0.494,0.7,0.267,23,39,0.453,0.852,0.333,17,39
22200474,1610612760,1610612757,101,98,0.468,0.84,0.333,19,37,0.494,0.667,0.389,29,36
22200475,1610612758,1610612747,134,120,0.505,0.75,0.362,29,46,0.5,0.833,0.458,25,39
22200476,1610612746,1610612766,126,105,0.506,0.913,0.469,29,48,0.402,0.759,0.29,25,40
22200461,1610612765,1610612762,111,126,0.506,0.741,0.36,22,43,0.505,0.632,0.435,27,43
22200462,1610612748,1610612741,103,113,0.469,0.706,0.341,26,35,0.548,0.833,0.419,24,39
22200463,1610612752,1610612744,132,94,0.517,0.781,0.425,27,47,0.473,0.923,0.343,23,29
22200464,1610612756,1610612764,110,113,0.461,0.789,0.406,26,44,0.475,0.703,0.407,22,41
22200465,1610612743,1610612763,105,91,0.449,0.6,0.37,28,48,0.444,0.667,0.192,25,42
22200452,1610612739,1610612762,122,99,0.614,0.808,0.577,24,45,0.387,0.739,0.294,19,35
22200453,1610612755,1610612761,104,101,0.4,0.926,0.357,22,41,0.42,0.8,0.275,24,50
22200454,1610612737,1610612753,126,125,0.511,0.9,0.375,29,41,0.474,0.92,0.353,29,45
22200455,1610612745,1610612759,105,124,0.426,0.645,0.208,23,41,0.554,0.789,0.5,30,46
22200456,1610612750,1610612742,116,106,0.472,0.833,0.387,19,44,0.408,0.806,0.422,23,42
22200457,1610612740,1610612749,119,128,0.424,0.708,0.4,30,44,0.556,0.806,0.325,26,44
22200458,1610612760,1610612757,123,121,0.455,0.865,0.355,20,39,0.5,0.81,0.432,26,45
22200459,1610612756,1610612747,130,104,0.495,0.75,0.513,21,51,0.448,0.824,0.429,13,38
22200460,1610612758,1610612766,119,125,0.474,0.548,0.364,23,42,0.516,0.739,0.323,26,56
22200445,1610612738,1610612753,92,95,0.348,0.857,0.255,22,54,0.384,0.895,0.414,20,46
22200446,1610612754,1610612752,106,109,0.433,0.652,0.342,20,44,0.47,0.767,0.308,13,49
22200447,1610612765,1610612751,121,124,0.477,0.853,0.267,20,41,0.55,0.913,0.517,26,35
22200448,1610612761,1610612744,110,126,0.421,0.773,0.394,21,43,0.531,0.846,0.462,31,41
22200449,1610612750,1610612741,150,126,0.655,0.813,0.535,38,39,0.523,0.75,0.421,31,30
22200450,1610612743,1610612766,119,115,0.457,0.647,0.333,33,55,0.427,0.913,0.316,26,48
22200451,1610612747,1610612764,119,117,0.5,0.727,0.407,29,43,0.463,0.792,0.256,24,48
22200438,1610612746,1610612764,102,93,0.43,0.615,0.414,19,49,0.429,0.923,0.36,20,42
22200439,1610612759,1610612748,101,111,0.429,0.758,0.37,29,38,0.512,0.696,0.367,25,40
22200440,1610612739,1610612742,100,99,0.426,0.591,0.194,23,51,0.409,0.632,0.306,19,45
22200441,1610612745,1610612757,95,107,0.4,0.69,0.103,19,51,0.471,0.737,0.361,20,36
22200442,1610612749,1610612762,123,97,0.533,0.818,0.474,30,54,0.453,0.5,0.34,24,29
22200443,1610612760,1610612763,115,109,0.413,0.645,0.422,29,53,0.378,0.784,0.267,15,53
22200444,1610612756,1610612740,118,114,0.47,0.714,0.366,23,35,0.584,0.769,0.467,27,36
22200428,1610612766,1610612737,106,125,0.398,0.684,0.349,26,43,0.547,0.824,0.517,25,41
22200429,1610612765,1610612758,113,122,0.459,0.806,0.345,22,46,0.524,0.828,0.387,30,33
22200430,1610612738,1610612753,109,117,0.417,0.824,0.239,17,38,0.462,0.857,0.273,19,53
22200431,1610612739,1610612754,118,112,0.5,0.875,0.452,23,34,0.525,0.895,0.306,34,33
22200432,1610612755,1610612744,118,106,0.459,0.806,0.395,23,49,0.415,0.846,0.395,31,48
22200433,1610612761,1610612751,116,119,0.488,0.862,0.375,17,32,0.605,0.783,0.346,22,37
22200434,1610612741,1610612752,91,114,0.468,0.875,0.4,26,39,0.402,0.719,0.386,19,50
22200435,1610612760,1610612750,110,112,0.466,0.81,0.297,29,45,0.494,0.56,0.48,23,43
22200436,1610612742,1610612757,130,110,0.556,0.846,0.419,25,40,0.438,0.76,0.351,21,42
22200437,1610612747,1610612743,126,108,0.527,0.75,0.364,29,45,0.481,0.75,0.333,25,39
22200424,1610612745,1610612748,108,111,0.468,0.647,0.273,22,51,0.443,0.739,0.34,21,40
22200425,1610612763,1610612749,142,101,0.549,0.783,0.375,30,56,0.372,0.667,0.26,22,39
22200426,1610612762,1610612740,132,129,0.457,0.811,0.383,24,44,0.475,0.821,0.4,24,49
22200427,1610612746,1610612756,95,111,0.378,0.714,0.364,21,52,0.463,0.778,0.281,27,53
22200414,1610612766,1610612765,134,141,0.412,0.793,0.333,21,52,0.516,0.75,0.45,25,52
22200415,1610612754,1610612744,125,119,0.506,0.84,0.41,30,34,0.465,0.862,0.424,27,46
22200416,1610612753,1610612737,135,124,0.505,0.833,0.444,28,46,0.5,0.889,0.343,30,39
22200417,1610612761,1610612758,123,124,0.5,0.852,0.286,25,39,0.484,0.85,0.37,29,50
22200418,1610612741,1610612752,120,128,0.548,0.864,0.321,25,31,0.495,0.8,0.529,25,48
22200419,1610612760,1610612748,108,110,0.5,0.739,0.375,26,44,0.43,0.8,0.429,25,39
22200420,1610612759,1610612757,112,128,0.464,0.579,0.379,23,40,0.605,0.706,0.45,26,40
22200421,1610612742,1610612739,90,105,0.392,0.731,0.342,17,33,0.526,0.789,0.333,26,43
22200422,1610612743,1610612764,141,128,0.651,0.829,0.25,31,45,0.527,0.565,0.487,40,24
22200423,1610612746,1610612750,99,88,0.382,0.81,0.304,21,52,0.419,0.733,0.182,15,43
22200409,1610612755,1610612758,123,103,0.512,0.778,0.457,34,42,0.413,0.85,0.238,21,48
22200410,1610612749,1610612744,128,111,0.549,0.813,0.414,22,55,0.4,0.789,0.4,25,37
22200411,1610612745,1610612756,111,97,0.42,0.912,0.343,16,67,0.32,0.947,0.255,22,44
22200412,1610612762,1610612740,121,100,0.476,0.667,0.319,31,59,0.398,0.667,0.148,25,43
22200413,1610612747,1610612738,118,122,0.473,0.733,0.276,23,49,0.442,0.688,0.396,27,51
22200402,1610612754,1610612748,82,87,0.354,0.75,0.282,16,45,0.386,0.778,0.265,23,48
22200403,1610612764,1610612751,100,112,0.468,0.682,0.355,21,44,0.494,0.889,0.296,25,41
22200404,1610612763,1610612737,128,103,0.602,0.833,0.406,36,49,0.356,0.773,0.324,20,39
22200405,1610612742,1610612760,121,114,0.419,0.84,0.407,24,50,0.477,0.952,0.323,21,42
22200406,1610612759,1610612739,112,111,0.474,0.688,0.333,25,46,0.489,0.941,0.217,21,44
22200407,1610612757,1610612750,133,112,0.539,0.762,0.457,32,54,0.495,0.526,0.37,25,37
22200408,1610612746,1610612738,113,93,0.489,0.714,0.4,18,46,0.434,0.692,0.231,27,36
22200395,1610612740,1610612756,129,124,0.581,0.75,0.32,31,43,0.467,0.765,0.342,34,42
22200396,1610612765,1610612747,117,124,0.462,0.824,0.378,28,40,0.548,0.778,0.423,31,42
22200397,1610612752,1610612758,112,99,0.449,0.889,0.229,19,55,0.398,0.657,0.256,20,41
22200398,1610612753,1610612761,111,99,0.468,0.806,0.452,25,42,0.4,0.868,0.24,18,28
22200399,1610612755,1610612766,131,113,0.554,0.813,0.481,31,41,0.409,0.867,0.367,21,45
22200400,1610612737,1610612741,123,122,0.48,0.762,0.333,28,45,0.48,0.826,0.259,28,53
22200401,1610612745,1610612749,97,92,0.44,0.917,0.222,23,49,0.367,0.778,0.279,18,52
22200387,1610612748,1610612759,111,115,0.481,0.714,0.382,26,32,0.538,0.774,0.333,24,46
22200388,1610612754,1610612751,133,136,0.553,0.75,0.477,30,30,0.52,0.719,0.321,19,59
22200389,1610612764,1610612746,107,114,0.435,0.895,0.471,24,50,0.426,0.938,0.396,22,42
22200390,1610612739,1610612760,110,102,0.471,0.692,0.375,25,48,0.458,0.8,0.345,25,40
22200391,1610612741,1610612742,144,115,0.635,0.708,0.559,33,44,0.456,0.846,0.25,24,37
22200392,1610612744,1610612738,123,107,0.511,0.8,0.333,26,53,0.437,0.731,0.3,17,39
22200393,1610612743,1610612762,115,110,0.547,0.813,0.308,28,39,0.459,0.81,0.366,20,42
22200394,1610612757,1610612750,124,118,0.518,0.893,0.382,20,45,0.542,0.75,0.435,22,28
22200377,1610612766,1610612752,102,121,0.44,0.786,0.231,16,45,0.441,0.867,0.382,25,48
22200378,1610612754,1610612764,121,111,0.506,0.85,0.439,23,40,0.532,0.76,0.345,25,38
22200379,1610612753,1610612761,113,109,0.592,0.905,0.385,24,43,0.424,0.818,0.286,23,33
22200380,1610612751,1610612737,120,116,0.542,0.81,0.433,30,38,0.495,0.875,0.345,21,38
