TEAM_ID,GENERALMANAGER
1610612737,Travis Schlenk
1610612738,Danny Ainge
1610612740,Trajan Langdon
1610612741,Gar Forman
1610612742,Donnie Nelson
1610612743,Tim Connelly
1610612745,Daryl Morey
1610612746,Michael Winger
1610612747,Rob Pelinka
1610612748,Pat Riley
1610612749,Jon Horst
1610612750,Scott Layden
1610612751,Sean Marks
1610612752,Steve Mills
1610612753,John Hammond
1610612754,Kevin Pritchard
1610612755,Elton Brand
1610612756,James Jones
1610612757,Neil Olshey
1610612758,Vlade Divac
1610612759,Brian Wright
1610612760,Sam Presti
1610612761,Masai Ujiri
1610612762,Dennis Lindsey
1610612763,Zach Kleiman
1610612764,Tommy Sheppard
1610612765,Ed Stefanski
1610612766,Mitch Kupchak
1610612739,Koby Altman
1610612744,Bob Myers
